ano,sigla_uf,id_municipio,produto,area_plantada,area_colhida,quantidade_produzida,rendimento_medio,valor_producao,prop_area_plantada,prop_area_colhida,prop_valor_producao
2010,AP,1600154,Palmito,,,,,,,,
2010,AP,1600154,Pera,,,,,,,,
2010,AP,1600154,Pêssego,,,,,,,,
2010,AP,1600154,Pimenta-do-reino,,,,,,,,
2010,AP,1600154,Sisal ou agave (fibra),,,,,,,,
2010,AP,1600154,Tangerina,,,,,,,,
2010,AP,1600154,Tungue (fruto seco),,,,,,,,
2010,AP,1600154,Urucum (semente),,,,,,,,
2010,AP,1600154,Uva,,,,,,,,
2010,AP,1600204,Abacate,,,,,,,,
2010,AP,1600204,Algodão arbóreo (em caroço),,,,,,,,
2010,AP,1600204,Açaí,,,,,,,,
2010,AP,1600204,Azeitona,,,,,,,,
2010,AP,1600204,Banana (cacho),68,68,232,3411,313,46.9,47.55,37.09
2010,AP,1600204,Borracha (látex coagulado),,,,,,,,
2010,AP,1600204,Borracha (látex líquido),,,,,,,,
2010,AP,1600204,Cacau (em amêndoa),,,,,,,,
2010,AP,1600204,Café (em grão) Total,,,,,,,,
2010,AP,1600204,Café (em grão) Arábica,,,,,,,,
2010,AP,1600204,Café (em grão) Canephora,,,,,,,,
2010,AP,1600204,Caju,,,,,,,,
2010,AP,1600204,Caqui,,,,,,,,
2010,AP,1600204,Castanha de caju,,,,,,,,
2010,AP,1600204,Chá-da-índia (folha verde),,,,,,,,
2010,AP,1600204,Coco-da-baía,,,,,,,,
2010,AP,1600204,Dendê (cacho de coco),,,,,,,,
2010,AP,1600204,Erva-mate (folha verde),,,,,,,,
2010,AP,1600204,Figo,,,,,,,,
2010,AP,1600204,Goiaba,,,,,,,,
2010,AP,1600204,Guaraná (semente),,,,,,,,
2010,AP,1600204,Laranja,60,60,520,8666,416,41.38,41.96,49.29
2010,AP,1600204,Limão,,,,,,,,
2010,AP,1600204,Maçã,,,,,,,,
2010,AP,1600204,Mamão,,,,,,,,
2010,AP,1600204,Manga,,,,,,,,
2010,AP,1600204,Maracujá,17,15,92,6133,115,11.72,10.49,13.63
2010,AP,1600204,Marmelo,,,,,,,,
2010,AP,1600204,Noz (fruto seco),,,,,,,,
2010,AP,1600204,Palmito,,,,,,,,
2010,AP,1600204,Pera,,,,,,,,
2010,AP,1600204,Pêssego,,,,,,,,
2010,AP,1600204,Pimenta-do-reino,,,,,,,,
2010,AP,1600204,Sisal ou agave (fibra),,,,,,,,
2010,AP,1600204,Tangerina,,,,,,,,
2010,AP,1600204,Tungue (fruto seco),,,,,,,,
2010,AP,1600204,Urucum (semente),,,,,,,,
2010,AP,1600204,Uva,,,,,,,,
2010,AP,1600212,Abacate,,,,,,,,
2010,AP,1600212,Algodão arbóreo (em caroço),,,,,,,,
2010,AP,1600212,Açaí,,,,,,,,
2010,AP,1600212,Azeitona,,,,,,,,
2010,AP,1600212,Banana (cacho),45,45,179,3977,214,100.0,100.0,100.0
2010,AP,1600212,Borracha (látex coagulado),,,,,,,,
2010,AP,1600212,Borracha (látex líquido),,,,,,,,
2010,AP,1600212,Cacau (em amêndoa),,,,,,,,
2010,AP,1600212,Café (em grão) Total,,,,,,,,
2010,AP,1600212,Café (em grão) Arábica,,,,,,,,
2010,AP,1600212,Café (em grão) Canephora,,,,,,,,
2010,AP,1600212,Caju,,,,,,,,
2010,AP,1600212,Caqui,,,,,,,,
2010,AP,1600212,Castanha de caju,,,,,,,,
2010,AP,1600212,Chá-da-índia (folha verde),,,,,,,,
2010,AP,1600212,Coco-da-baía,,,,,,,,
